created,user,header,content,sentiment,theme1,da
2021.01.13 18:21,STOVE104046675,로스트아크 신규유저 일주일차입니다..,"그냥 다른분들도 느낀점 쓰시는 분들도 계시길래...저도한번 써볼려고합니다.(욕하실분들은 욕하세요 개인적인 의견이고 불편하신분들은 그냥 읽지마시고 뒤로 넘겨주세요)1.뉴비에 의한 이벤트는 충분 But 3티어때 썩을대로 썩은 고인물들 때문에 뉴비들을 무시하고. 333아니면 &nbsp;다른 상위던전을 진입못함.솔직히 제가 일주일 해봤는데(본인은 아이템레벨1336) 다른분들한테 물어봄.333아니면 껴주질 못하고 공컷이 안넘으면 껴주질 못하는상황.(심지어 아이라의 눈에서도 공컷을 따지는 상황이 발생.)그래요 뉴비들이 공략을 제대로 못보고 던전을 들어가는 상황이 자주일어나서. 요즘 인벤이나 커뮤니티글들 다보면. 고의트롤,진짜 개못하는 뉴비들 발생.이런문제들은 &nbsp;RPG상 어쩔수 없는 상황이라고 생각이듭니다... 하지만 이런문제들도 인식이 바꼇으면 하는 바램..2.버스 의존도가 심함.다른게임들도 버스가 있긴있는데.이게임은 유독 버스의존도가 심한거같음(개인적인 의견일수도있음 여태껏 여러게임을 해온결과 이게임이 유독 개인적으론 버스의존도가 심한거같음)제가 듣기론 이부분도 운영자분들이 알고있어서 생각하고있다고 조치가 이루어질거라고는 하는데...솔직히 버스버스 이러니깐 보기가 거북하고... 이런게임들은 천천히 해서 올라가는재미고.그리고 본인이 파밍하면서(각인.아이템등등...) 성취감을 느껴야하는데...뉴비들은 진입장벽이 심하게 오고 심지어 &nbsp;탬렙올리는것에 현타가 와서. 쉽게 다가갈수는 없는게임이라고생각함..저는 일주일째 게임했는데 이2가지가 느낀점이였고.뭐... 다른분들은 어텋게 생각하실진 모르겠지만.제글을 읽고 욕하실분들은 욕하셔도됩니다.지극히 개인적인 의견이니깐 참고해주시길 바랍니다.",0,회사,의견
2021.01.13 18:08,즐거운잼민이,발탄버그 왜안고쳐,발탄 하늘로 올라가면 안내려와 ㅋㅋ발탄 승천 스토리임?? 이런식으로 못깨게하면 어쩌자는거냐 ㅋㅋㅋ,-1,버그,의견
2021.01.13 18:03,STOVE83007576,뉴비같은 복귀 질문올립니다,님들 어빌리티스톤 원한있는거 껴라는데 드랍으로 확률로만 먹을수 밖에 없나요? 어빌리티 스톤세공사한테 가룬지 뭔지로 교환하는거 말고 스톤 수급가능한데가 없나요? 대체 원한박힌 어빌리티는 나오질 않으니..그리고 특성도 시즌1에는 특성 교체? 같은 시스템이 있었던거 같은데 안보이네요 특성작도 드랍템 확률로만 해야하나요?,0,아이템,질문
2021.01.13 17:55,뚱라마,강선이형 제발 버그 좀 어떻게 해봐,,-1,버그,의견
2021.01.13 17:50,157521786,새로 시작한 뉴비입니다. 점핑관련 질문,점핑 안하고 메인퀘스트 밀면서 하고 싶은데 별로인가요 ?,0,이벤트,질문
2021.01.13 17:36,156896450,버그 제보가 버그남..?,전에 레기오로스 맵 버그 났다고 게시글 올린 뉴비입니다. 패치 후 봐도 똑같아요.심지어 패치 전 10번 넘게 접수를 등록을 했는데 내 문의 내역을 보니까 1개도 없어요.지금도 계속 하고 있는데 내역에는 뜨질 않으니 이게 들어간건지 만건지 모르니까 겁나 답답합니다.레기오로스좀 깨고싶어요...,-1,버그,건의
2021.01.13 17:34,잔재된기운3버블,골드 시세좀 맞추면안됨? 패키지도 효율너무쓰레기인데,골드 시세좀 맞추면안됨? 패키지도 효율너무쓰레기인데배럭으로 돈모아서 하는분도있지만 현질할려하는사람도 못하게만드는1415 부터 오레하 못하는데 골드수급처줄고 군단장은 아직 미지수지만골드좀살려해도 시세 만골에3만원넘게들더라 ㅋㅋ..시세좀맞춰 좀 ㅡㅡ;;,-1,기타,건의
2021.01.13 17:25,덩4,점핑권,만렙 캐릭터 있어야 사용가능한거임??,0,이벤트,질문
2021.01.13 17:19,덩4,님들 뉴비인데 페이튼 패스 쓸려고하는데ㅐ 이전 대륙 퀘스트 진행안했다고 못쓰는데 맞는건가요?,ㅠㅠ,0,이벤트,질문
2021.01.13 17:01,카운터도하나,어제 시작한 뉴비거든요,퀘스트 아크를 찾아서 하다가 6/7인가 로 표시되더라고요 근데 점핑권을 사용했더니 50랩 된건 좋은데 메인퀘스트 찾을길이 없네요? 이거 포기도 못하고 어디로 가야 되나요??,0,버그,질문
