created,user,header,content,sentiment,theme1,da
2016.08.04 01:11,들깨가루,액티브 수동설치 왜안되요?,빨리 신청하고파!!?,0,업데이트,질문
2016.08.04 01:10,5002520,제발 클베 당첨되게해주세요!,당첨되렴!?,0,이벤트,친목
2016.08.04 01:10,아웰아크,그러니까 엑티브엑스가 사라져야해...8 ㅁ 8,테스터신청을 기다리건만 고놈의 엑티브x가 항상 문제로군요 ㅇ _ ㅇ...;?지금은 신청이 안되니 일단 내일 기다려서 신청해야겠습니다 ㅠㅜ ?엑티브엑스 다운로드...를 빨리...아니면 다운로드식으로라도 좀...!!?,-1,버그,의견
2016.08.04 01:10,들깨가루,꼭 당첨되세요!!,저도 되길 ㅠㅠㅠ?,0,이벤트,친목
2016.08.04 01:09,힘찬하루헛개차,프론티어 분들은 회원정보에서 인증하세요 ~,프론티어 사전에 신청하신분들은 회원정보 가셔서 다시 인증을 하시면됩니다!?꼭하시길~?,0,이벤트,정보
2016.08.04 01:09,10662690,클로즈베타 테스터 여러분 모두 건승하시길 빕니다!!,드디어 베타 입니다 ㅠㅠ!!!?,0,업데이트,의견
2016.08.04 01:09,5001599,엑티브X 다운로드가 되지않아 테스터 신청이 불가합니다..수정해주세요,제목이 곧 내용입니다^^,-1,버그,건의
2016.08.04 01:08,로리,액티브x안됨,예ㅔㅔㅔ오늘 cbt신청은 물건너가는건가?,-1,버그,의견
2016.08.04 01:07,아뮤네시아,홈페이지 오픈 축하드려요~,드디어 공홈이 열렸네요 `ㅁ`?이리저리 둘러보러 ~?,0,업데이트,의견
2016.08.04 01:04,5002022,기다리고 기다렸던 게임이 드디어 클로즈베타 서비스를 시작하는군요!,정말 오래 기다렸습니다.?,0,업데이트,의견
2016.08.04 01:03,다반향초민,액티브 X 수동설치가 안됩니다..,PC 사양 체크 때문에 설치해야 하는데 팝업도 안뜨고 수동으로 설치하려고 눌러도 새창만 뜨고 반응이 없네요 브라우져는 익스플로러고요?,-1,버그,의견
2016.08.04 01:00,천랑,왜 매지션 클래스에 바드만???,엄청 기대하고 들어왔는데...?카드 던지는거 짱짱 멋있던데,-1,버그,의견
2016.08.04 01:14,5002680,Active X 설치갘ㅋㅋㅋㅋㅋㅋ,음... 안됨?,-1,버그,의견
2016.08.04 01:14,붉은노을,안녕하십니까. 프론티어입니다.,데헷 ^-^?,1,유저,친목
2016.08.04 01:13,힘찬하루헛개차,1차 cbt 직업이 영상이랑 틀리네요 ㅎㅎ,영상에서는 서머너가 공개되어서 서머너로 나올줄 알았는데 ?매지션? - 바드?거너 -블래스트 가 공개되었네요 ! ?서머너는 아직 개발중인가봐요 영상에서는 완성도 높아보이던데 아쉽..ㅜㅜ?,-1,업데이트,의견
2016.08.04 01:13,라인하르트빌헬름,엑티브X는 만악의 근원.....,어서 크롬이나 엑지 브라우저로 갈아타야 합니다.?,-1,버그,의견
2016.08.04 01:13,방울카페,엑티브 설치 안되요 ㄷㄷ,신청 못하는 중..?,-1,버그,정보
2016.08.04 01:12,5001590,엑티브 설치가 안되네요 ;;,,-1,버그,정보
2016.08.04 01:12,와사비,엑티브엑스를 꼭 써야겠냐,게다가 설치도 안됨 ㅡㅡ?,-1,버그,의견
2016.08.04 01:12,천랑,액티브 X 기다리셔야할듯 CDN이랑 캐비지 파일 업로드 안된듯,?확인 하고 열지..?,-1,버그,의견
2016.08.04 01:12,당근,홈페이지 오류가 좀 많은듯하네요.,"익스플로러로 로그인하고 클베신청하면 다시 로그인하라고 뜨고,다시 로그인하고 게시판에 글남기려고 해도 또 로그인하라고 뜨고,로그인을 해도 해도 ?다시 로그인하라고 하네요.?지금은 크롬으로 글을 작성하고 있어서 가능한데.?저만 이런가요 :O",-1,버그,의견
2016.08.04 01:12,5002743,2년동안 기다렸던 게임이 드디어 ^^,기대됩니다.?,1,업데이트,의견
2016.08.04 01:12,5001856,윈도우 10에서 컴퓨터 사양 검사 할려고 하는데 안되네요,다운 자체가 안받아짐?,-1,버그,질문
2016.08.04 01:12,5002297,사랑해요~,당신을~!?,1,일상/기타,친목
2016.08.04 01:11,가르바,첫인상 지렸고,처음부터 이깟 Active X가 다운로드가 안됨 ?,-1,버그,의견
2016.08.04 01:11,레이팡,사양체크때문에 신청을못하네...,이게무슨소리야....?,-1,버그,질문
2016.08.04 01:11,5002521,액티브x수동설치,눌렀는데 흰 화면만 뜨고 아무것도 안되네요. 빨리 신청하고 싶어 안달났는데 말이죠?,-1,버그,의견
2016.08.04 01:17,한도림,엑티브 설치가... 괜찮아 게임에 집중하느라 웹은 신경 덜 쓴거일꺼야,엑티브 설치가... 괜찮아 게임에 집중하느라 웹은 신경 덜 쓴거일꺼야아마도...?,0,버그,의견
2016.08.04 01:17,남쇠루,엑티브;;;,으어;;; 급해서 방광이 간지럽다;;;?,-1,버그,의견
2016.08.04 01:17,5003201,솔직히 스마일게이트라서 기대안하려고하다가 막상 열렸다길래 오긴왔는데,초장부터 빅엿을 주시네 ㅎㅎㅎ?,-1,버그,의견
2016.08.04 01:17,흑형간지,액티브엑스 맛탱이 간거같은데 이거 뭡니까,html 뜯어보니까 아예 링크에 아무것도 없던데.?,-1,버그,질문
2016.08.04 01:16,5002433,다들 액티브때문에 신청 못하고계신건가..,수동설치도 안돼고 자동설치는 뜨지도 않고.... 공기관과 은행에서 암걸리다가 게임에서도 만날줄은...?,-1,버그,질문
2016.08.04 01:16,Awesome,반갑습니다. 여러분,두근두근.?,1,유저,친목
2016.08.04 01:16,솔라,엑티브 설치 저만 안되는거 아니죠 ??ㅠ,빨리 설치 해주세요 ㅠ 현기증 난단 말이에요,-1,버그,질문
2016.08.04 01:16,5002039,때가 어느땐데 익스플로러에 엑티브 엑스냐,아이고오 어쩌면 좋니,-1,버그,의견
2016.08.04 01:15,영원,호오...,,,,
2016.08.04 01:15,천랑,아르카나가 없다니요!!! 블소 문파원들 다 끌고 왔는데,지금 아르카나가 없다니... 바드는............무슨..........?,-1,캐릭터,질문
2016.08.04 01:15,레이팡,액티브액스 극켬 ㅠㅠ,다운로드도안되 ㅠㅠ?,-1,버그,의견
2016.08.04 01:15,5002160,프론티어 신청했엇는데 장점이머임,??장점 1도없남,-1,이벤트,질문
2016.08.04 01:15,흑곰찬,안그래도 엑티브 엑스는 극혐인데...,심지어 액티브 엑스파일은 없고....깔리지도 않고....클베신청 어떻게 하나요....???????,-1,버그,질문
2016.08.04 01:15,5001599,닉네임옆에 F표시 프론티어 인증은뭔가요?,저도 이 사이트 생기기전에 프론티어 신청했었는데..어떻게 하나요?,0,이벤트,질문
2016.08.04 01:15,혀소,액티브엑스를 꼭 써야만했는가,사이트 열기전에 한번 더 확인하고 열지?,-1,버그,의견
2016.08.04 01:18,5003201,에휴 기다린 내가 븅 신이지,재밌는지 감상평 제대로들 들려주셈 ?,-1,일상/기타,의견
2016.08.04 01:18,괴물,사과몽땜에 엑티브안됨,사과해라ㅜㅜ?,-1,버그,의견
2016.08.04 01:18,사과몽,엑티브 깔게해줘요 뻬에에에에에엑,빼에에에에에에에엥에엑?,-1,버그,건의
2016.08.04 01:18,영웅,영웅닉 지렸구요 ㅠ.ㅠ,클베 신청 하고 싶습니다 ^^?,0,이벤트,의견
2016.08.04 01:18,들깨가루,현기증나게하네;;,영자님 ㅠㅠ?,-1,버그,건의
2016.08.04 01:18,5005149,엑티브 엑스 뭔가요;;;,설치도 안 됨 -ㅅ-;;;?,-1,버그,질문
2016.08.04 01:18,드레드,클래스 중에 카드쓰는애는 어디감?,걘 안나오나?,0,캐릭터,질문
2016.08.04 01:18,5001893,뭐하자는건지,홈페이지만 열어놓고 직원들 퇴근했나?,-1,버그,의견
2016.08.04 01:17,도로시,야 이거 뭐야,?홈페이지에서부터 이러는거보니까 메이플2 삘난닼ㅋㅋㅋㅋㅋㅋㅋ????(귀중이형 팬이에요!),-1,회사,의견
2016.08.04 01:17,좋아해,직업 다 어디갔어요.;;,아르카나 소서러 어디갔나요 ㅠㅠ 그리고 크롬으로 갈아탑시다 Active x 컹s;한 부분입니다..,-1,버그,의견
2016.08.04 01:17,혀소,자게 UI가 왜이리 불편함,뒤로가기도 안먹고 옆에 X를 눌러야 끌 수 있네기대한 만큼 실망도 크고?,-1,버그,의견
